Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities"
Purification Technician,"Isolates and purifies biological substances, including proteins, antibodies, and other biomolecules, to ensure they meet quality and regulatory requirements. Utilizes and oversees the operation of specialized equipment, such as chromatography systems and filtration units, to carry out purification tasks. Works closely with production and quality assurance teams to resolve issues and enhance processes. Assists in the deliverance of safe and effective biopharmaceuticals and other biotech solutions.",,"4-6 years Experience in a biomanufacturing, downward processing, or laboratory role. Familiarity with operating chromatography systems, filtration devices, and other purification equipment is preferred.","Operates and oversees purification equipment, including chromatography and filtration systems, to extract and refine biological products.
Cleans, assembles, and calibrates equipment to ensure it is prepared and functional for production processes.
Follows precise protocols for purification procedures to maintain consistency and uphold quality standards.
Documents process parameters, results, and any discrepancies to meet regulatory and quality assurance requirements.
Troubleshoots and resolves issues in purification operations to ensure seamless production activities.
Performs regular quality checks on purified products to confirm their concentration, purity, and adherence to specifications.
Collaborates with upstream production teams, quality assurance staff, and scientists to achieve production objectives and address operational challenges.
Maintains a controlled and clean work environment by adhering to Good Manufacturing Practices (GMP) and established safety guidelines.",,"Knowledge of methods such as chromatography (e.g., ion-exchange, affinity, or size-exclusion) and filtration (e.g., tangential flow or ultrafiltration).
Familiarity with GMP, quality assurance principles, and regulatory requirements in biopharmaceutical production.
Ability to work in cleanroom environments and use aseptic techniques to prevent contamination.
Ability to document processes accurately and analyze data to ensure product quality."
TSC Technician I,Higher?level technicians may be asked to provide assistance and training to lower level technicians.,,,"ILLUSTRATIVE EXAMPLES OF WORK (May not include all duties performed – These are intended as an illustration of the various types of work performed. The omission of specific duties does not exclude them from the position if the work is similar, related, or a logical assignment to the position.)
Staff provides the set up and repair service of APS computer hardware, computer software, and/or audio?visual equipment.
Staff provides help or assistance on APS equipment to APS personnel on an informal basis.
Attends occasional departmental meetings and training.
Unpacks and performs physical set up of equipment keeps records of service performed and parts used coordinates warranty repairs works independently or as part of a team orders repair parts answers client questions.",,"Ability to exercise judgment and initiative in analyzing computer systems to make sound recommendations and modifications.
Ability to write effectively in order to develop technical documentation and user manuals.
Ability to coordinate work with user offices.
Flexibility and adaptability to deal with changing technologies and priorities.
Ability to work under pressure and meet deadlines.
Ability to establish and maintain effective working relationships with other APS employees, contractors, vendors and county employees.
Ability to travel to all school sites and work a flexible schedule to fulfill job responsibilities."
Associate Quality Analyst,This role may be filled as a Quality Analyst or Principal Quality Analyst.,,,"Develop and implement program quality inspection plans,
Work with the Engineering team to ensure that part requirements are correctly described and documented in the production work plans.
Participate with corrective action or improvement teams and promote the use of data to assist in the improvement effort.
Preparation of first article inspection packages for internal approval or presentation to the final Customer.
Supports the Program, Operations, Engineering and Quality teams with data analytics for improvement processes.
Conduct or support internal audits, process observations and area assessments.
Interfaces with manufacturing, engineering, customer, vendor, and subcontractor representatives to ensure requirements are met.",,
Analyst,"Conducts analysis of information in primary business area of expertise.  Coordinates with project manager or task lead to plan and design the analysis and then execute the plan. Assembles, prepares, and analyzes data for studies, economic and statistical models, evaluations, system requirements, and other needs.  Uses technical discretion within defined practices and policies in selecting methods and techniques for determining approaches or obtaining solutions.  Assembles, prepares, and analyzes data; presents data in briefing and other formats to clients. Provides technical advice, operating assistance and counsel to clients in respective areas of expertise.  Provides input or may prepare technical reports/briefings based on the expert interpretation of analyzed data.",,"4-6 years
7-9 years","Evaluates information gathered from multiple sources, reconciles conflicts, decomposes high-level information into details, and abstracts up from low-level information to a general understanding.
Organizes meetings, compiles results and documents processes endorsed by the customer and the user community.
Briefs analysis results and recommendations to executives, managers, and subject matter experts.
Develops solutions to problems and prepares products according to customer requirements. Performs evaluation of alternatives and assessment of risks and costs.
Serves as functional domain analytic expert in areas relevant to a particular project.
Produces and/or reviews substantive and/or complex documentation reflecting detailed knowledge of functional areas as identified in the statement of work.
Documents requirements based on design, cross-functional integration, feasibility studies, and functional process specifications.
Assembles, prepares, and analyzes data in respective business area; presents analysis/data to client in support of statement of work.
Adjusts rapidly to shifts in priorities and manages multiple tasks simultaneously that may include staff support relating to current operations.  Applies a depth of knowledge, skills, and abilities to research and conducts process analysis and studies.
Communicates and collaborates with external and internal customers to analyze information needs and functional requirements.",Certified Analytics Professional (CAP),"Strong research and investigative skills.
Proficient in Microsoft Office programs.
Ability to maintain effective interpersonal relationships
Excellent communication skills both written and verbal."
Admin Nutrition Services IT Resources,"Works to maintain the efficiency, reliability, and effectiveness of the Nutrition Services Information System, including 1) troubleshooting and problem resolution of all technology; 2) providing direct software and hardware technical assistance to users; 3) creating work around procedures; 4) utilizing appropriate internal district and vendor resources; and 5) working closely with district IT to assess impact of IT changes.",Bachelor's Degree In related field (directly related experience can be considered in lieu of degree) Required, Prior experience and knowledge of school nutrition-related technology systems Preferred,"Oversees FNS technology projects and processes and provides planning, technical leadership and expertise to various levels of staff, including presentations and training.
Provides expertise to keep department current with industry. Maintains expert level knowledge base of FNS hardware and software relationships; makes product evaluations and recommendations.
Collaborates with vendors and district IT to resolve issues and maximize product performance.
Compiles and analyzes work logs to identify areas to maintain efficient work processes.
Installs, secures, configures, demonstrates, and tests for integrity FNS technology and related devices (i.e. POS terminals, printers).  Insures connectivity of LAN/WAN systems.
Maintains accurate department technology inventory records and utilizes department and district help desk ticket process.
Performs technical planning for FNS technology, including network design and hardware replacement schedules.
Assists in technology budgeting and participates in ITB and RFP preparation and evaluation.", Current computer certifications are desirable  Preferred,
Associate Pricing Analyst,"Reviews requests for proposals to identify and assist the proposal team in developing proposals, pricing, and business solutions for customers. Understands and implements all internal cost estimating policies. Analyzes price, cost, and profitability of proposed pricing to determine acceptability and briefs management on these items. Either assists in creating pricing strategies or monitors the implementation of those strategies on proposals. Works with internal organization to determine anticipated labor and overhead rates, material requirements, equipment costs, and possible bid strategies. Analyzes estimates against previous cost experience and recommends adjustments.",,1-3 years Experience supporting pricing and structure solutions.,"Monitors and maintains IT Asset accountability.
Updates asset records in HP Asset Manager.
Provides expertise, knowledge and experience to train and support the execution of the organization by monitoring equipment issues, cross-leveling, tracking and coordinating equipment fills, identifying and cataloging lessons learned, receiving and issuing equipment and supervising unit to unit lateral transfers, identifying equipment to transfer and executing transfers within the suspense and guideline criteria, coordinating new equipment and organization training and coordinating facilities utilization planning and execution.
Reconciles logistics work orders.
Creates and processes IT Asset excess documents for equipment leaving the client agency. Responds to client requests for IT Asset Information. Creates reports in MS Excel & PowerPoint based on IT Asset Information.
Provides technical assistance on supply and maintenance procedures and recommends viable solutions to improve the maintenance posture of equipment utilized, deployed, displaced or otherwise placed in limited use/administrative storage due to contingency missions.
Performs materiel management functions and implement a thorough working knowledge of US Army maintenance and supply policies and procedures, management, and reporting procedures.
Provides guidance and supervision on the proper use and completion of the Financial Liability Investigation of Property Loss documents for lost, damaged and or destroyed property.
Updates and monitors spend plans for home station.",Certified Pricing Professional (CPP)-PPS,"Knowledge of pricing models and mechanisms, market rates, rules and tariffs.
Ability to perform technical analysis to provide cost analysis.
Ability to work under pressure to meet deadlines.
Ability to recognize, analyze, and solve a variety of problems
Proficient in Microsoft Applications."
Production Equipment Technician,"Maintains Production by completing preventive-maintenance schedules; completing equipment changeovers; troubleshooting equipment breakdowns; making repairs; producing spare parts, jogs, and fixtures; installing modifications; recommending improvements.",,"4-6 years experience related to job duties.
7-9 years experience in a manufacturing, machine operations, and data entry role.","Keeps production equipment ready by completing preventive-maintenance schedules.
Sets-up production equipment by completing equipment changeovers.
Restarts production by troubleshooting equipment breakdowns; making repairs; producing spare parts, jogs, and fixtures; operating shop equipment.
Enhances equipment performance by installing modifications; making adjustments; recommending improvements.
Keeps parts and materials supplies ready by checking stock; anticipating needs; placing and expediting orders; verifying receipt; stocking items.
Documents equipment maintenance actions by completing forms, reports, logs, and records.
Improves production operations by training and coaching production operators employees.
Maintains safe, secure, and healthy production environment by adhering to organization standards and policies, and to legal regulations; alerting others regarding potential concerns.
Improves production equipment job knowledge by attending training sessions; reading technical publications.
Contributes to production and organization success by welcoming related, different, and new requests; helping others accomplish job results.","Certified Production Technician (CPT)
","Ability to understand and follow instructions
Ability to work independently, self-motivated.
Ability to perform basic mathematical calculations, knowledge of metric conversions.
Excellent communication skills both written and verbal.
Knowledge of current good manufacturing practices."
Para Pro Ex Ed,"Works directly with a classroom teacher to assist with the implementation of supports and services provided. Collaborate with teachers and students in a variety of tasks related to academics, behavior and physical logistics.  Coaches and encourage students to actively engage in the process of learning and becoming more independent.

Incumbents may be assigned to work with 1 to 2 specific students. If that student/s move to a different school, the Para-Pro will be offered the opportunity to move with that student/s. Should the opportunity be declined, continued employment at the current school will be based on business need.",Associate's Degree in applicable field of study or 48 hours of college credit hours from an accredited college or university or successful completion of Praxis certification Required, Prior experience working with children Preferred,"Provides small group instruction under the guidance and supervision of certificated personnel.
Facilitates and models appropriate social interactions and behaviors among students.
Assists in the personal care of students such as feeding, diapering, lifting, etc.
Monitors, collects and records students’ behavioral and/or academic performance as directed by the teacher.
Actively engages with and consistently supervises all students throughout the day, e.g. playground, field trip, school and classroom settings.
Supervises and engages with students during arrival, dismissal, lunch, and/or other activities designated by the teacher or administrator. May assist and facilitate classroom and lesson preparation.
Implements students IEPs, functional behavioral assessments, safety plans, and/or behavior intervention plans.
Attends and actively participates in professional development opportunities to enhance skills and understanding of special populations, may include training for proper restraint procedures, social and emotional learning best practices and literacy.
Maintains professionalism and confidentiality. Models respectful behavior towards students, peers and supervisors.", Praxis certification  Required,"Proficient in basic computer skills including Microsoft Office Suite.
Demonstrates professionalism and a positive attitude.
Able to maintain confidentiality.
Able to operate a mechanic lift."
Big Data Analyst,Leverages data analysis and customer relationship management (CRM) to assess business technical performance and provides solutions for system enhancements. Assists with creating big data team goals in partnership with Big Data Manager. Oversees multiple projects and serves as lead for training workshops. ,,"4-6 years experience in a coding or programming role. Experience translating information using cloud services, such as Salesforce, Microsoft Azure, or Amazon Web Services (AWS).
7-9 years progressive experience with data and data migration.","Evaluates large data sets and implements appropriate solutions.
Develops hypothesis by conducting A/B tests and the impact on key performance indicators (KPI’s).
Profiles source information and sets characteristics.
Parses, filters, texts connotation, and enriches as part of big data processes.
Partners with data architects and data scientists to streamline implementation services.
Determines data trends, reads models and created code.
Develops solutions by managing distributed data processing in real-time.
Stays abreast on industry trends and changes within the data industry.",Certified Analytics Professional (CAP),"Knowledge and understanding of data mining techniques (e.g., auditing, aggregation, validation, and reconciliation).
Proficient in business intelligence (BI) platforms (e.g., Tableau).
Proficient in big data tools and technologies (e.g., Hadoop, MapReduce, and/or Hive).
Proficient in programming languages (e.g., Python, R, Ruby, Java).
Proficient in statistical analysis tools (e.g., SPSS or MATLAB).
Ability to accurate read data models and codes.
Ability to support the business and insight of data analysis.
Ability to remain calm in stressful situations and change gears quickly when required.
Ability to work independently with minimal supervision.
Ability to recognize, analyze, and solve a variety of problems
Skill in talking to others to convey information effectively."
Telecommunications Site Switch Technician,"Maintains Telecommunications Systems by performing maintenance routines; testing circuits, equipment, alarms, and fire-suppressing systems; identifying and correcting problems; recording inspections and maintenance performed.",,"1-3 years experience as a telecommunications tech.
4-6 years experience in a customer service role.","Plans telecommunications switching system operations by studying technical specifications; ordering and gathering equipment, supplies, materials, and tools.
Maintains telecommunications service by performing maintenance routines, including switches, frame relay and transmission equipment, power supply, temperature control system, fire suppression system, security system, emergency generators, circuits, connections, and miscellaneous equipment; following industry standards; coordinating with contractors.
Verifies telecommunications service by testing circuits, equipment, alarms, and fire-suppressing systems; identifying and correcting problems.
Documents telecommunications service by recording inspections and maintenance performed.
Maintains telecommunications site by completing operational and preventive maintenance requirements; troubleshooting and repairing problems; testing back-up; updating documentation.
Maintains safe, secure, and healthy telecommunications site switch environment by adhering to organization standards and policies, and to legal regulations; alerting others regarding potential concerns.
Keeps telecommunications site switch supplies ready by inventorying stock; placing orders; verifying receipt.
Improves telecommunications site switch job knowledge by attending training sessions; reading technical publications.
Contributes to telecommunications site switch and organization success by welcoming related, different, and new requests; helping others accomplish job results.","Certified Network Cable Installer (CNCI)
DL NUMBER - Driver License, Valid and in State","Ability to use basic installation tools and hand tools.
Ability to follow strict safety guidelines in adherence with OSHA standards.
Proficient in Microsoft Office applications.
Excellent communication skills both written and verbal.
Ability to recognize, analyze, and solve a variety of problems."
Refining Equipment Technician,"Maintains Refining by completing preventive-maintenance schedules; completing equipment changeovers; troubleshooting equipment breakdowns; making repairs; producing spare parts, jogs, and fixtures; installing modifications; recommending improvements.",,"4-6 years experience in a refining equipment technician role.
7-9 years experience in a refining equipment technician role.","Keeps refining equipment ready by completing preventive-maintenance schedules.
Sets-up refining equipment by completing equipment changeovers.
Restarts refining by troubleshooting equipment breakdowns; making repairs; producing spare parts, jogs, and fixtures; operating shop equipment.
Enhances equipment performance by installing modifications; making adjustments; recommending improvements.
Keeps parts and materials supplies ready by checking stock; anticipating needs; placing and expediting orders; verifying receipt; stocking items.
Documents equipment maintenance actions by completing forms, reports, logs, and records.
Improves refining operations by training and coaching refining operators employees.
Maintains safe, secure, and healthy refining environment by adhering to organization standards and policies, and to legal regulations; alerting others regarding potential concerns.
Improves refining equipment job knowledge by attending training sessions; reading technical publications.
Contributes to refining and organization success by welcoming related, different, and new requests; helping others accomplish job results.",,"Ability to understand and follow instructions
Organized, detail-oriented while meeting strict deadlines.
Ability to process information logically.
Excellent communication skills both written and verbal."
Pharmacy Technician Apprentice,The Pharmacy Technician Apprentice is in training to serve as a pharmacy technician.,,,"Participate in all didactic/classroom, lab, and experiential training as designated by the program curriculum
Compound, prepare and process medications/medication orders for final verification by the pharmacist
Refill automated dispensing devices, dispensing technology in the medical center
Order, receive, store incoming medications and supplies
Utilize computer information systems to support pharmacy processes
Complete required cleaning, monitoring, logs, recalls and outdates to established standards
Perform other duties and responsibilities as assigned",,
Supv Truancy,,,,,,
Service Apprentice Technician,The service apprentice Technician will work along with a team of technicians and gain skills and knowledge to become a certified ford technician.,,,"Works alongside an assigned technician to learn to perform quality vehicle service maintenance and repairs.
Assists assigned technician as needed.
Delivers customer cars to service stalls as requested by technicians.
Picks up parts from the parts department as directed by technicians.
Performs safety inspections, oil changes, lubrication work, basic maintenance and minor repairs as directed.
Replenishes supplies as requested by technicians or service manager.
Reports machinery defects or malfunctions to supervisor.
Attends training classes and departmental meetings.
Operates all tools and equipment in a safe manner.",,"Ability to read and comprehend simple instructions, short correspondence, and memos.
Ability to write simple correspondence.
Ability to effectively present information in one-on-one and small group situations to customers, clients and other employees of the organization.
Ability to read and interpret documents such as safety rules, operating and maintenance instructions and procedure manuals.
Ability to write routine reports and correspondence.
Ability to add and subtract two digit numbers and to multiply and divide with 10's and 100's.
Ability to perform these operations using units of American money and weight measurement, volume and distance.
Ability to add, subtract, multiply and divide in all units of measure, using whole numbers, common fractions and decimals.
Ability to compute rate, ratio and percent and to draw and interpret bar graphs.
Ability to calculate figures and amounts such as discounts, interest, commissions, proportions, percentages, area, circumference and volume.
Ability to apply concepts of basic algebra and geometry.
Ability to apply common sense understanding to carry out simple oneor two-step instructions.
Ability to deal with problems involving a few concrete variables in standardized situations.
Ability to deal with problems involving several concrete variables in standardized situations.
Ability to solve practical problems and deal with a variety of concrete variables in situations where only limited standardization exists."
Prepress Technician,"Produces Materials For Print Reproduction by studying design, content, and specifications; evaluating space requirements, type size and style, spacing, and graphics; reviewing customer designs; writing, editing, keying, and copying text; creating and importing graphics; separating colors; operating platemaking systems.",,"4-6 years Printing, layout, and computer experience
7-9 years Experience with digital layout/processes","Determines prepress requirements by reviewing work orders; studying design, content, and specifications.
Develops print design concepts by evaluating space requirements, type size and style, spacing, and graphics; reviewing customer designs.
Prepares finished page layouts by writing, editing, keying, and copying text; creating and importing graphics; converting, scanning, and enhancing documents, illustrations, and photographs, into digital images; operating proofing systems.
Prepares printing plates by separating colors; operating platemaking systems.
Maintains quality printing results by editing layouts including spelling, grammar, punctuation, reproduction, clarity, and consistency; adhering to prepress standards.
Obtains print layout approval by submitting completed design and layout; reviewing and implementing changes.
Initiates printing production by transmitting files.
Maintains prepress files by filing and retrieving layouts.
Keeps prepress equipment operating by following operating instructions; troubleshooting software problems; calling for repairs.
Improves prepress job knowledge by attending training sessions; reading technical publications.
Contributes to prepress and organization success by welcoming related, different, and new requests; helping others accomplish job results.",FIRST Press Operator Certification,"Intermediate Microsoft Office program skills
Technical knowledge of prepress systems
Excellent communication skills both written and verbal
Excellent eye sight and attention to details"
Clerk Accounting I Nutrition Services,Support and troubleshooting stakeholder's IT needs.  Identify and resolve data issues that arise as well as stay up to date on USDA Food and NS Regulations.,High School Diploma or G.E.D. equivalent. Post-secondary coursework related to computer data processing and data analysis Required, A minimum of 2 years’ experience in a public school system and familiarity with USDA Child Nutrition Programs is beneficial Required,"Respond to incoming requests in a timely manner. Document and track support requests and resolutions.
Troubleshoot point-of-sale and school food service management software issues.
Provide entry-level hardware and network supporting, escalating to tier 2 support as needed.
Identify and resolve data issues.
Instruct end users on technology resources. Develop and maintain technical process and procedure documentation.
Ensure reporting accuracy and compliance to local, state, and federal regulation.
Handle sensitive information following privacy and security protocols.
Support financial, inventory, and ordering processes.",,"Ability to work with confidential information,
Excellent organizational skills,
Work with minimal errors,
Self-motivating and proactive,
Critical thinking and problem management,
Proficient working in a computer-based environment,
Strong interpersonal and public relations with both internal and external stakeholders,
Ability to multi-task prioritize, set, and accomplish goals,
Microsoft Office/Office 365,
Strong Time Management,
Goal Oriented,
Remote Desktop Support (AB Tutor),
Familiar with USDA Food and NS Regulations, MCS Software (Newton, Edison, Franklin), and Active Directory."
Senior Unified Communications Technician,"Sets, strikes, operates, or otherwise works with relative Audio-Visual (A/V)  equipment as instructed. Oversees the use/operation, movement, and storage of all audio-visual equipment.  Provides customer support in the use and troubleshooting of all audio-visual equipment.",,"7-9 years Cisco Telepresence endpoints;Polycom endpoints (or similar); Tandberg Video (or similar) Conferencing systems experience
10+ years or similar) WebEx (or similar) experience; Cisco MeetingPlace, Presence, Enterprise Instant Messaging (e.g., Cisco Jabber) experience; Basic PC/Mac troubleshooting experience","Completes daily customer meeting support: hands on technical support resource for customers for all conference room meeting needs including: Video, Audio, WebEx,  video teleconferencing, Room computer connectivity, and Laptop connectivity
Assists engineers and/or senior staff with complex projects utilizing subject matter expertise.
Completes daily conference room checks, verifying all equipment is online, functioning and charged
Assists junior staff in resolution of issues.
Logs all transactions with customers in the ticketing system
Coordinates meeting support with junior staff and customer POC.",Info COMM CTS,"Strong technical knowledge of carrier circuit offerings and systems interconnectivity.
Strong knowledge of concepts used in VOIP telecommunication and traditional systems.
Ability to train others.
Excellent communication skills both written and verbal.
Ability to multi-task and prioritize workload."
Teacher Ex Ed Community Based Transitions,"Provides students assigned to the Community-Based Transition Program with opportunities to achieve employment-related competencies in the workplace and classroom settings. Instruct students individually and in groups, using various teaching methods such as lectures, discussions and demonstrations.",Bachelor's Degree In special education Required, Prior teaching experience with work-based learning Preferred,"Implements a functional curriculum that addresses adult daily living activities; including employment, community involvement, and independent living.
Plans daily lessons to meet the needs of all students assigned to the Community Based Transition Program and adapts teaching methods and instructional materials to meet students’ varying needs and interests related to post-secondary education, employment, independent living, and community involvement.
Develops job site opportunities for job training internships.
Teach socially acceptable behavior, employing techniques such as behavior modification and positive behavior reinforcement. Establishes and enforces rules of behavior and procedures for maintaining order in the classroom, job site and community setting, including functional behavioral assessments, and behavior intervention plans.
Designs and implements assessments that measure progress towards vocational goals. Uses assessment data to refine curriculum and adjust instructional practices.
Maintain accurate and complete student records and prepare reports on children and activities, as required by laws, district policies, and administrative regulations, including Individual Education Plans, Safety Training Plan, and Task Analysis Plan.
Confers with parents/guardians, other teachers, job site supervisors/co-workers, and administrators to resolve students’ social/emotional and/or behavioral issues.
Attends and actively participates in monthly Community Based Transition Program staff meetings and professional development opportunities to enhance skills and understanding of special populations and work-based learning, including training for proper restraint procedures.",Teaching Certification/License Current Tennessee Teaching certificate or eligible for alternative licensure program  Required,
Manager of Driver,"Manages the daily activities of truck drivers to ensure the safe transport of goods. Serves as liaison between customers, dispatchers, and drivers. Oversees the training and recruitment of drivers, manages training programs and facilitates performance feedback. Schedules routes, delivery progressions, and tracks driver performance. Works to optimize driver performance while ensuring adherence to federal and state regulatory agencies. ",,"7-9 years Progressive experience working in logistics, transportation management, or similar roles. Experience supervising drivers and coordinating schedules and overseeing driver operations.","Manages a fleet of drivers to ensure that compliance and safety protocols are followed; monitors for on-time deliveries, fuel usage, and adherences to driving hours.
Facilitates route management by planning and assigning driving routes; optimizes routes to reduce fuel consumption and driving time.
Serves as point of contact for drivers regarding scheduling concerns, maintenance problems, and load assignments.
Addresses operational issues, responds to driver inquiries and delivers support during driver trips.
Evaluates driver metrics, such as punctuality, safety, and customer feedback; delivers coaching to drivers to improve compliance..
Facilitates audits of driving logs, vehicle maintenance, and driving certifications to ensure compliance with company policies and transportation laws.
Confirms that drivers perform in adherence to Federal Motor Carrier Safety Administration (FMCSA) and Department of Transportation (DOT).
Ensures that drivers do not exceed driving limits by monitoring hours of service (HOS) to avoid violations of federal regulations.
Supports and assists drivers with real in-time issues such as vehicle breakdowns, customer problems, and route changes.
Designs and implements driver training programs to meet operational standards; identifies individual training needs and integrates professional development goals into driving training.
Updates training programs to ensure alignment with new and existing traffic laws; follows safety protocols to minimize risks and uphold operational safety standards","DL NUMBER - Driver License, Valid and in State
CDL License","Wellbore Integrity Assessment High
Driver Safety Program Development High
Route Assignment Optimization Medium
Telematics Data Analysis Medium"
Senior Slot Technician,"Under the direction of the Slot Technical Supervisor, the Senior Slot Technician is responsible for administering proper training while on shift for Slot Technicians, Slot Attendants and Slot Floor Supervisors.",,,"Troubleshoots gaming machines, ticketing system and slot accounting system. Performs general maintenance tasks/repairs to gaming machines and related systems. Assists floor staff with any issues that may arise.
Works closely with Lead Slot Technicians to address work orders and repair games that are in a state of inoperability, in order to bring them back into service.
Prepares games, checks part compatibility, and conducts functional testing. Programs game set-up options, as dictated by configuration worksheets. Assumes responsibility and performs testing for accuracy to ensure games perform within selected options.
Properly documents repairs, preventive maintenance, machine prep, standard power analysis and pre-work site surveying. Reads and translates schematic diagrams as applicable for troubleshooting and planning. Compiles and reports information regarding trends, problems, and engineering issues to supervision. Follows documentation, policies and procedures, and performs tasks with limited supervision.
Performs advanced machine and component repair, including logic board repair as well as troubleshooting of player tracking and accounting system components.
Completes department and enterprise-related documentation. Sends, and receives pertinent work emails in a timely and professional manner.
Performs all job duties of the Slot Technician as needed for assistance.
Performs other duties as assigned to support the efficient operation of the department.",,"Minimum one ( year experience of slot and/or electronic repair and maintenance ability to trouble-shoot mechanical and electrical slot machine malfunctions preferred.
Must continually develop technical skills associated the technical slot department operations able to pass periodic technical examinations to determine abilities/skill levels.
Must possess the physical capabilities to be able to carry machine keys, electronic devices, a radio, tools and notebook on shift.
Ability to multi-task and prioritize effectively in a dynamic, fast-paced environment with demonstrated organizational and time management skills."
Assistant Director of Accessibility,Will also learn and support the director in understanding physical and programmatic access issues across the college and when needed filling in for the director in the director's absence.,,,"Meets with a caseload of students who disclose a disability as well as with others interested in exploring resources for temporary and possible health needs to provide information and advice regarding accessibility services and related resources both within and outside the college.
Review documentation to determine eligibility for accessibility services and accommodations while also providing direct services to students including advising and strategy development.
Serve as technical support for the department’s accommodation management software, AIM, including generation of reports to be analyzed by the director.
Coordinate direct services to students including notetaking, reading/alternative format and testing accommodations.
Assist the director with implementation of practices to ensure that students receive reasonable and appropriate accommodations.
Assist the director in providing training and advising to the campus community on universal design.
Maintain contact with college constituencies (faculty, administrators, staff, students), professional organizations, and disability agencies in order to take advantage of available resources for continued development of student disability awareness and services on campus.
In collaboration with the Director, the Assistant Director will play a key role in assessment of the program and services. Will assist in collaboration with the Director to ensure that programs and services are the highest quality possible and delivered in a timely manner.
Serve as the primary advisor to student groups with a focus on access and disability issues and topics.
Develop and implement programs and workshops related to disability topics to increase awareness as well as promote better understanding of the department’s role and use of resources to provide access.
Will also learn and support the director in understanding physical and programmatic access issues across the college and when needed filling in for the director in the director's absence.
Accurately evaluate requests for services, accommodation and exceptions.
Develops and implements programs designed to raise the level of awareness of disability and access issues on this campus.
Provides service and support for persons with disability within ADA and institutional guidelines.",,"Experience working with federal laws regarding postsecondary education and disabilities, including ADA and Section 504 of the Rehabilitation Act of 1973
Exposure to and experience working with laws, policies, and practices regarding students with disabilities
Knowledge of federal laws regarding postsecondary education and disabilities, including ADA and Section 504 of the Rehabilitation Act of 1973
Excellent interpersonal skills, including ability to build and sustain key relationships with governing agencies, students with disabilities, and all levels of the college community
Solid writing skills and the ability to communicate with a variety of audiences
Excellent organization skills and ability to set priorities and meet deadlines
Excellent computer skills include being able to work with all Microsoft Office products"
Associate Business Process Analyst,"Supports the analysis and evaluation of business problems and, potentially, the development of solutions to address identified problems. In addition, supports taking projects from original concept through final implementation. Assignments typically include problem definition, evaluation of business processes and support to the definition of system requirements (if necessary).  Further, implementation support for the deployment of improved business processes and new/improved systems to meet business and user requirements is a component of this position. Interfaces with all areas affected by the project including customer, computer services, and client services.   Analyzes business and technical processes to formulate and develop new and modified business processes and, if applicable, information systems.  Represents the business unit to define business requirements and business cases for the technology developments, if applicable. Coordinates with business and technology teams, supports collection of system requirements, such as program functions, output requirements, input data acquisition, and system techniques and controls.",,"1-3 years
4-6 years","Analyzes business and technical processes to formulate and develop new and modified business information processing systems.
Represents the business unit to define as-is and to-be processes and, if necessary, requirements and business cases for the technology developments.
Provides a single point of contact for those projects.
Interfaces with all areas affected by the project including customer, computer services, and client services.",Certified in Business Analysis -PMI,"Skill in analyzing and organizing technical data
Proficient in Microsoft Office programs.
Knowledge of web based applications and documentation tools.
Excellent communication skills both written and verbal."
Associate Reservoir Analyst," Works under supervision of senior-level Reservoir Analysts and Reservoir Engineer to  perform data analysis of reservoir operation. Gathers reservoir data, maintains records, and provides support for data analysis tasks. Contributes to reservoir estimation projects, and report preparation to summarize reservoir performance. ",,"1-3 years Experience working as a junior level Reservoir Analyst or progressive experience working as a data technician, or junior level engineer.","Gathers and compiles reservoir data, includes production records, well logs, pressure data, and geological information to confirm data accuracy.
Facilitates data entry and maintains reservoir data in databases and software systems.
Assists in data analysis tasks, plot trends, chart generation, and performs data quality checks.
Supports reservoir modeling assistance by partnering with team members for the development of reservoir models.
Develops reports to summarize reservoir performance, identify trends, and facilitate evaluation of data analysis findings.
Provides data assistance to Reservoir Engineers and senior-level Analysts in the process of reservoir evaluation.
Manages documentation resources, data management processes to ensure adherence to outlined guidelines and procedures.",,"Ability to become proficient in reservoir engineering principles and techniques.
Ability to recognize, analyze, and solve a variety of problems.
Excellent communication skills both written and verbal.
Ability to learn and become proficient in reservoir management software and tools."
Tech Grounds II,This position is responsible for the completion of necessary work to prepare sports fields for optimal use.,High School Diploma or GED Required, 2 years applicable experience Required,"Performs work order requests involving the care of sports fields including, but not limited to mowing and trimming of the fields, fence lines, and any area or building attached to those facilities and proceeds with the corrective action which is required.
Aerating, fertilizing, and/or seeding, and distributing sand to fields as required.
Installing bumper blocks, patching or filling potholes, and placing asphalt
Installing gravel for walkways
Completes work schedule in a timely manner
Maintains the assigned equipment in first class operational condition","DL NUMBER - Driver License, Valid and in State   Required","Working knowledge of equipment, materials and supplies used in grounds maintenance."
